;sp260223_002 ch: 1907283U1;;sp260223_002 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
222,6937;155,03104;207,6063;57,060599;
222,9826;154,60755;207,8935;58,594927;
223,2715;160,39586;208,1807;57,99576;
223,5604;164,86734;208,4679;54,031243;
223,8493;168,69731;208,7551;53,46036;
224,1382;153,55539;209,0422;55,67131;
224,4271;162,40385;209,3294;50,463235;
224,7160;168,68154;209,6166;53,385273;
225,0049;159,25076;209,9038;54,172444;
225,2937;158,08491;210,1910;51,037919;
225,5826;159,45822;210,4782;56,099129;
225,8715;157,74368;210,7654;54,684373;
226,1604;159,83638;211,0526;54,193211;
226,4493;163,31407;211,3398;61,322;
226,7382;163,48551;211,6270;44,339687;
227,0271;164,15813;211,9142;53,095345;
227,3160;166,89762;212,2013;58,288664;
227,6049;164,50027;212,4885;59,88104;
227,8938;164,18819;212,7757;61,486746;
228,1827;175,66691;213,0629;54,135457;
228,4716;153,46729;213,3501;55,447511;
228,7605;162,90427;213,6373;56,468067;
229,0494;154,60021;213,9245;53,926331;
229,3383;154,20729;214,2117;56,539862;
229,6272;159,77013;214,4989;57,042596;
229,9160;169,48252;214,7861;56,333901;
230,2049;169,93407;215,0733;60,759736;
230,4938;166,45059;215,3605;62,185737;
230,7827;160,50602;215,6476;58,499237;
231,0716;165,87749;215,9348;59,329296;
231,3605;176,32359;216,2220;60,465854;
231,6494;169,76429;216,5092;57,106544;
231,9383;160,56973;216,7964;60,045055;
232,2272;163,18906;217,0836;60,353121;
232,5161;161,98689;217,3708;56,329228;
232,8050;159,31058;217,6580;57,57686;
233,0939;159,69087;217,9452;61,20041;
233,3828;166,3189;218,2324;54,751193;
233,6717;167,34202;218,5196;59,92587;
233,9606;166,18053;218,8067;59,761852;
234,2495;174,32476;219,0939;57,594557;
234,5383;175,27981;219,3811;57,308367;
234,8272;168,45193;219,6683;51,296344;
235,1161;165,21258;219,9555;58,238063;
235,4050;165,9832;220,2427;57,527232;
235,6939;170,98089;220,5299;58,07827;
235,9828;170,18819;220,8171;63,399345;
236,2717;174,80355;221,1043;63,443713;
236,5606;172,21507;221,3915;61,102188;
236,8495;176,98859;221,6787;64,342619;
237,1384;183,56496;221,9658;58,319581;
237,4273;185,06436;222,2530;54,205723;
237,7162;187,2209;222,5402;63,450815;
238,0051;195,48564;222,8274;63,337709;
238,2940;183,71712;223,1146;62,689711;
238,5829;188,11101;223,4018;58,241457;
238,8718;184,59815;223,6890;61,609134;
239,1606;182,48011;223,9762;67,701409;
239,4495;180,36164;224,2634;59,075759;
239,7384;178,73506;224,5506;64,251851;
240,0273;175,44589;224,8378;63,827132;
240,3162;181,13651;225,1250;57,195429;
240,6051;173,82251;225,4121;60,368972;
240,8940;159,2387;225,6993;57,824659;
241,1829;158,63547;225,9865;67,377782;
241,4718;163,26309;226,2737;65,154125;
241,7607;160,89834;226,5609;65,886693;
242,0496;153,36694;226,8481;67,37062;
242,3385;158,80236;227,1353;64,781016;
242,6274;169,74721;227,4225;64,72179;
242,9163;153,02639;227,7097;58,162848;
243,2052;157,88424;227,9969;59,481285;
243,4941;154,41263;228,2841;64,103178;
243,7829;159,86198;228,5712;61,884022;
244,0718;149,17405;228,8584;61,043932;
244,3607;141,25745;229,1456;60,58744;
244,6496;153,34474;229,4328;56,572863;
244,9385;136,36032;229,7200;59,392427;
245,2274;138,05731;230,0072;64,073283;
245,5163;134,91969;230,2944;61,725057;
245,8052;145,03029;230,5816;64,013045;
246,0941;139,26858;230,8688;55,89804;
246,3830;145,64813;231,1560;63,638259;
246,6719;145,45366;231,4432;69,694634;
246,9608;147,58511;231,7304;72,17388;
247,2497;136,09931;232,0175;63,69712;
247,5386;131,29741;232,3047;58,498347;
247,8275;136,85868;232,5919;53,722945;
248,1164;146,59062;232,8791;58,210579;
248,4052;156,80135;233,1663;61,301418;
248,6941;151,31184;233,4535;64,250211;
248,9830;140,55513;233,7407;62,319986;
249,2719;138,46093;234,0279;60,857807;
249,5608;136,35273;234,3151;65,098327;
249,8497;141,66211;234,6023;67,204371;
250,1386;138,00804;234,8895;62,454315;
250,4275;134,09863;235,1766;60,877291;
250,7164;143,3464;235,4638;63,372017;
251,0053;147,69439;235,7510;63,617614;
251,2942;141,08599;236,0382;63,886191;
251,5831;139,71601;236,3254;63,57645;
251,8720;145,62316;236,6126;62,61086;
252,1609;139,96193;236,8998;63,586138;
252,4498;145,94606;237,1870;60,92321;
252,7387;150,87858;237,4742;62,995225;
253,0275;138,12821;237,7614;61,395306;
253,3164;148,64455;238,0486;63,755764;
253,6053;148,85082;238,3357;64,085001;
253,8942;149,08709;238,6229;62,827232;
254,1831;145,12339;238,9101;69,603931;
254,4720;137,94932;239,1973;70,78015;
254,7609;142,82873;239,4845;62,901135;
255,0498;149,86141;239,7717;63,623503;
255,3387;155,99559;240,0589;57,202676;
255,6276;164,81671;240,3461;67,285867;
255,9165;159,33192;240,6333;64,213517;
256,2054;153,96911;240,9205;67,765067;
256,4943;156,88992;241,2077;65,358269;
256,7832;158,02882;241,4949;66,120712;
257,0721;157,88494;241,7820;61,874554;
257,3610;149,44414;242,0692;62,091976;
257,6498;151,50207;242,3564;64,411394;
257,9387;152,68614;242,6436;66,080919;
258,2276;151,76272;242,9308;64,385954;
258,5165;149,63205;243,2180;62,888977;
258,8054;132,55077;243,5052;67,275869;
259,0943;137,07157;243,7924;68,41868;
259,3832;148,35168;244,0796;64,936743;
259,6721;144,98608;244,3668;65,668476;
259,9610;152,98469;244,6540;64,6398;
260,2499;143,98447;244,9411;63,782752;
260,5388;148,70879;245,2283;67,37066;
260,8277;149,38305;245,5155;65,825869;
261,1166;139,89008;245,8027;62,580831;
261,4055;132,00169;246,0899;68,001146;
261,6944;128,08284;246,3771;66,207177;
261,9833;137,07036;246,6643;70,115128;
262,2721;138,63381;246,9515;65,911285;
262,5610;142,36509;247,2387;59,536306;
262,8499;134,66893;247,5259;64,041605;
263,1388;138,16426;247,8131;61,653825;
263,4277;144,31407;248,1003;59,72321;
263,7166;141,04076;248,3874;59,066802;
264,0055;136,74534;248,6746;60,4238;
264,2944;139,69798;248,9618;64,497532;
264,5833;142,81739;249,2490;63,201445;
264,8722;138,9202;249,5362;64,597586;
265,1611;143,75602;249,8234;69,381049;
265,4500;145,1007;250,1106;69,529533;
265,7389;140,4634;250,3978;67,370333;
266,0278;144,09758;250,6850;68,454002;
266,3167;141,6314;250,9722;69,072486;
266,6056;147,43317;251,2594;67,604444;
266,8944;140,83633;251,5465;67,839271;
267,1833;143,80093;251,8337;63,595201;
267,4722;140,06484;252,1209;63,64014;
267,7611;146,04578;252,4081;66,612518;
268,0500;141,23981;252,6953;64,136007;
268,3389;142,96053;252,9825;72,934999;
268,6278;135,85466;253,2697;74,897016;
268,9167;142,80724;253,5569;66,05342;
269,2056;135,05942;253,8441;67,907563;
269,4945;128,71383;254,1313;67,659019;
269,7834;126,04938;254,4185;73,297509;
270,0723;126,80679;254,7057;70,007639;
270,3612;126,45634;254,9928;70,117076;
