Wavelength [nm]	Intensity
272.9612	110.39429
273.2501	112.38711
273.539	106.61437
273.8279	109.72981
274.1168	105.80428
274.4057	105.90061
274.6946	109.15219
274.9835	106.80534
275.2724	101.90879
275.5613	93.188164
275.8502	101.3635
276.1391	102.39311
276.4279	100.63
276.7168	105.80704
277.0057	102.3234
277.2946	105.07434
277.5835	109.37814
277.8724	101.98756
278.1613	100.44049
278.4502	107.77905
278.7391	104.68285
279.028	105.39789
279.3169	103.58801
279.6058	100.59384
279.8947	103.56218
280.1836	104.72649
280.4725	106.1683
280.7614	105.80716
281.0502	103.69747
281.3391	103.4346
281.628	100.17016
281.9169	106.35416
282.2058	113.27285
282.4947	113.9744
282.7836	106.10793
283.0725	110.30524
283.3614	104.74317
283.6503	117.045
283.9392	104.95046
284.2281	105.7714
284.517	110.30042
284.8059	107.2966
285.0948	106.03128
285.3837	129.7756
285.6725	108.92614
285.9614	98.514306
286.2503	95.54955
286.5392	102.98095
286.8281	110.75354
287.117	104.46765
287.4059	102.36878
287.6948	106.40226
287.9837	108.74525
288.2726	114.27053
288.5615	119.36696
288.8504	122.54705
289.1393	124.10188
289.4282	124.17649
289.7171	130.46916
290.006	131.46792
290.2948	123.81294
290.5837	122.0213
290.8726	124.04824
291.1615	130.37594
291.4504	127.19086
291.7393	127.61536
292.0282	125.24436
292.3171	122.41046
292.606	125.85431
292.8949	126.06855
293.1838	123.49936
293.4727	126.88726
293.7616	121.4696
294.0505	117.44534
294.3394	112.34259
294.6283	118.25274
294.9171	122.66138
295.206	121.43277
295.4949	116.52574
295.7838	111.46403
296.0727	113.54411
296.3616	118.24241
296.6505	120.6824
296.9394	122.12534
297.2283	120.28422
297.5172	116.73937
297.8061	108.38306
298.095	114.44603
298.3839	107.46682
298.6728	113.67377
298.9617	118.30887
299.2506	117.15413
299.5394	103.63
299.8283	103.74749
300.1172	116.98146
300.4061	116.00649
300.695	112.5918
300.9839	116.23183
301.2728	112.18715
301.5617	110.8698
301.8506	113.92507
302.1395	114.05648
302.4284	123.23087
302.7173	123.68542
303.0062	109.29774
303.2951	112.92333
303.584	118.59431
303.8729	122.17834
304.1617	122.03243
304.4506	117.88734
304.7395	118.70072
305.0284	119.12753
305.3173	126.63504
305.6062	136.90376
305.8951	133.43276
306.184	133.06
306.4729	136.02059
306.7618	146.98084
307.0507	145.04698
307.3396	130.98593
307.6285	134.79764
307.9174	136.2856
308.2063	119.82213
308.4952	114.77066
308.784	113.36036
309.0729	109.93404
309.3618	110.00013
309.6507	114.7728
309.9396	114.51344
310.2285	105.46159
310.5174	101.28132
310.8063	101.78772
311.0952	109.31918
311.3841	112.88079
311.673	102.18316
311.9619	107.62445
312.2508	108.23579
312.5397	102.27572
312.8286	96.328644
313.1175	92.307741
313.4063	104.78579
313.6952	107.95407
313.9841	96.592709
314.273	95.49521
314.5619	102.90597
314.8508	107.99462
315.1397	98.854704
315.4286	98.136533
315.7175	92.631048
316.0064	98.5067
316.2953	95.085498
316.5842	94.915962
316.8731	96.935682
317.162	87.210026
317.4509	101.75585
317.7398	94.033726
