Wavelength [nm]	intensity
256.716	88.946219
257.0032	86.13464
257.2904	85.794752
257.5776	87.90438
257.8648	87.06991
258.1519	87.512815
258.4391	86.396252
258.7263	80.042775
259.0135	82.239417
259.3007	82.946926
259.5879	89.000609
259.8751	88.635785
260.1623	77.476467
260.4495	84.506837
260.7367	84.624147
261.0239	74.570216
261.311	85.922631
261.5982	85.934823
261.8854	85.474952
262.1726	84.971216
262.4598	80.082483
262.747	85.256128
263.0342	82.817146
263.3214	82.285734
263.6086	87.216008
263.8958	85.897371
264.183	80.593809
264.4702	83.067018
264.7573	84.674364
265.0445	82.171692
265.3317	83.586842
265.6189	84.02351
265.9061	81.327176
266.1933	78.974229
266.4805	76.274318
266.7677	80.282426
267.0549	76.907637
267.3421	91.838988
267.6293	84.142501
267.9164	87.407083
268.2036	80.964624
268.4908	80.830024
268.778	82.791885
269.0652	81.420187
269.3524	78.104473
269.6396	83.144813
269.9268	77.084781
270.214	77.508619
270.5012	74.232822
270.7884	81.907502
271.0756	82.26073
271.3627	82.34696
271.6499	85.02469
271.9371	82.90903
272.2243	82.448298
272.5115	82.545536
272.7987	82.06695
273.0859	88.479466
273.3731	87.840969
273.6603	74.542558
273.9475	73.012378
274.2347	76.631153
274.5218	81.053559
274.809	75.211165
275.0962	84.671492
275.3834	85.241699
275.6706	82.81279
275.9578	77.926881
276.245	80.082283
276.5322	70.26869
276.8194	82.382314
277.1066	68.834602
277.3938	80.988912
277.6809	77.877137
277.9681	78.118417
278.2553	82.743684
278.5425	81.592796
278.8297	81.629524
279.1169	85.375188
279.4041	82.414171
279.6913	78.121359
279.9785	76.87524
280.2657	80.421499
280.5529	83.102979
280.8401	78.934326
281.1272	78.19576
281.4144	77.973272
281.7016	80.260532
281.9888	80.651093
282.276	77.335202
282.5632	78.841957
282.8504	76.893533
283.1376	75.105473
283.4248	77.744234
283.712	71.287028
283.9992	78.903002
284.2863	78.161418
284.5735	77.715326
284.8607	75.948141
285.1479	78.503624
285.4351	74.900359
285.7223	76.010146
286.0095	77.573565
286.2967	81.433361
286.5839	82.027622
286.8711	81.310367
287.1583	79.982426
287.4455	74.383522
287.7326	75.691813
288.0198	79.644014
288.307	78.54141
288.5942	77.584657
288.8814	74.691739
289.1686	76.735166
289.4558	74.378417
289.743	81.477737
290.0302	84.069428
290.3174	78.153657
290.6046	76.523349
290.8917	79.657848
291.1789	83.574529
291.4661	82.264743
291.7533	75.646055
292.0405	72.363805
292.3277	75.46221
292.6149	71.254797
292.9021	72.120128
293.1893	69.066915
293.4765	74.675253
293.7637	75.490995
294.0509	73.025096
294.338	69.363236
294.6252	70.924027
294.9124	72.806783
295.1996	76.811942
295.4868	71.378515
295.774	67.623344
296.0612	73.93841
296.3484	76.767092
296.6356	77.457703
296.9228	71.124431
297.21	71.605302
297.4971	66.762401
297.7843	75.296704
298.0715	79.963208
298.3587	78.015837
298.6459	78.292875
298.9331	92.224681
299.2203	85.450351
299.5075	89.344997
299.7947	82.739009
300.0819	85.151498
300.3691	83.347531
300.6562	92.669087
300.9434	83.984521
301.2306	82.494274
301.5178	70.922642
301.805	78.04381
302.0922	86.604659
302.3794	90.993416
302.6666	89.933058
302.9538	85.899399
303.241	81.733037
303.5282	85.204685
303.8154	85.921409
304.1025	81.948318
304.3897	84.680022
304.6769	82.255362
304.9641	84.183942
305.2513	89.908716
305.5385	78.670468
305.8257	85.970584
306.1129	89.083975
306.4001	85.031585
306.6873	86.888499
306.9745	83.895818
307.2616	87.546767
307.5488	86.254259
307.836	90.61872
308.1232	82.948553
308.4104	87.761648
308.6976	88.040607
308.9848	87.171754
309.272	87.580851
309.5592	88.959622
309.8464	82.382015
310.1336	83.335414
310.4208	88.504215
310.7079	90.355965
310.9951	91.998931
311.2823	89.340333
311.5695	81.431341
311.8567	81.60213
312.1439	88.327563
312.4311	88.462493
312.7183	84.719355
313.0055	82.810422
313.2927	86.468061
313.5799	90.03467
313.867	83.297211
314.1542	90.072119
314.4414	87.381004
314.7286	83.991665
315.0158	81.32724
315.303	78.041928
315.5902	81.104004
315.8774	84.501462
316.1646	81.938056
316.4518	85.740525
316.739	85.267393
317.0261	82.922008
317.3133	89.155443
317.6005	87.700503
317.8877	81.829331
318.1749	79.266714
318.4621	81.547516
318.7493	77.791694
319.0365	78.20925
319.3237	85.240162
319.6109	83.151378
319.8981	80.351382
320.1853	81.22085
320.4724	79.767411
320.7596	83.666281
321.0468	84.642782
321.334	80.223823
321.6212	86.525613
321.9084	88.678137
322.1956	89.157116
322.4828	83.547086
322.77	88.119548
323.0572	83.419593
323.3444	86.038723
323.6315	83.375672
323.9187	81.383661
324.2059	75.347457
324.4931	90.872284
324.7803	88.405784
325.0675	87.656803
325.3547	83.892293
325.6419	84.342312
325.9291	79.685728
326.2163	80.595893
326.5035	80.45059
326.7907	81.394028
327.0778	84.017388
327.365	85.008194
327.6522	84.388576
327.9394	85.415031
328.2266	85.968304
328.5138	88.408995
328.801	92.236357
329.0882	88.402986
329.3754	83.526417
329.6626	83.68893
329.9498	81.32255
330.2369	85.739345
330.5241	82.712977
330.8113	77.113004
331.0985	80.563276
331.3857	83.040605
331.6729	83.60339
331.9601	82.256327
332.2473	90.812813
332.5345	85.080964
332.8217	78.658775
333.1089	82.854041
333.396	87.55762
333.6832	83.233374
333.9704	86.89997
334.2576	88.394845
334.5448	81.782525
334.832	83.596476
335.1192	85.083093
335.4064	89.095912
335.6936	89.974
335.9808	87.29137
336.268	85.587359
336.5552	88.548483
336.8423	87.028608
337.1295	82.429348
337.4167	83.092029
337.7039	83.858991
337.9911	81.528131
338.2783	81.958471
338.5655	89.913368
338.8527	88.141861
339.1399	85.748213
339.4271	87.664086
339.7143	83.954478
340.0014	85.612372
340.2886	82.758911
340.5758	85.222255
340.863	84.849176
341.1502	85.738967
341.4374	87.643375
341.7246	86.655326
342.0118	89.795273
342.299	84.855784
342.5862	85.294479
342.8734	89.055195
343.1606	84.962088
343.4477	84.025514
343.7349	85.41794
344.0221	83.460193
344.3093	86.346565
344.5965	88.70461
344.8837	87.539293
345.1709	81.999888
345.4581	77.152909
345.7453	78.688801
346.0325	83.794537
346.3197	83.388949
346.6068	79.807505
346.894	82.557777
347.1812	84.018406
347.4684	85.461803
347.7556	86.973745
348.0428	88.036821
348.33	85.761399
348.6172	83.013184
348.9044	75.321698
349.1916	84.358866
349.4788	88.250603
349.766	92.037628
350.0531	85.407713
350.3403	91.452871
350.6275	90.473856
350.9147	89.545921
351.2019	89.026191
351.4891	88.901702
351.7763	85.886607
352.0635	85.609073
352.3507	85.794243
352.6379	84.808644
352.9251	90.517043
353.2122	89.942799
353.4994	83.418278
353.7866	81.625115
354.0738	89.500192
354.361	91.903536
354.6482	91.173201
354.9354	90.193879
355.2226	87.817598
355.5098	91.136446
355.797	93.294139
356.0842	94.160161
356.3713	91.181913
356.6585	92.632798
356.9457	88.727651
357.2329	89.844962
357.5201	89.463895
357.8073	93.408824
358.0945	93.680321
358.3817	92.166784
358.6689	91.668913
358.9561	93.019294
359.2433	88.786623
359.5305	91.463426
359.8176	96.992442
360.1048	93.202532
360.392	92.477992
360.6792	99.563821
360.9664	91.935439
361.2536	99.108999
361.5408	99.357794
361.828	101.09692
362.1152	103.83423
362.4024	104.29545
362.6896	100.79553
362.9767	102.67895
363.2639	100.26946
363.5511	101.0636
363.8383	108.87199
364.1255	111.63828
364.4127	110.77798
364.6999	112.11901
364.9871	116.69603
365.2743	121.56888
365.5615	127.52838
365.8487	125.2673
366.1359	129.77241
366.423	134.3979
366.7102	133.2783
366.9974	129.66944
367.2846	139.93683
367.5718	143.29828
367.859	140.97546
368.1462	142.106
368.4334	154.89339
368.7206	164.58207
369.0078	165.30688
369.295	162.33232
369.5821	175.89522
369.8693	181.55719
370.1565	189.07847
370.4437	189.89983
370.7309	194.61715
371.0181	203.37503
371.3053	215.11607
371.5925	221.64747
371.8797	227.50949
372.1669	232.17073
372.4541	243.70389
372.7412	253.89226
373.0284	262.85347
373.3156	276.86576
373.6028	287.92385
373.89	299.25488
374.1772	309.22096
374.4644	318.37454
374.7516	337.65768
375.0388	344.9676
375.326	364.04608
375.6132	379.60672
375.9004	389.60935
376.1875	409.22612
376.4747	422.19296
376.7619	447.92281
377.0491	453.70686
377.3363	476.697
377.6235	489.5862
377.9107	507.52473
378.1979	527.85262
378.4851	546.52396
378.7723	565.61902
379.0595	585.89296
379.3466	599.03499
379.6338	629.61755
379.921	649.50053
380.2082	671.06552
380.4954	696.02286
380.7826	718.03768
381.0698	732.28145
381.357	756.59468
381.6442	780.68603
381.9314	807.87114
382.2186	831.17436
382.5058	856.11962
382.7929	880.41735
383.0801	901.32849
383.3673	927.33255
383.6545	949.87352
383.9417	969.57565
384.2289	994.04851
384.5161	1024.3797
384.8033	1053.1142
385.0905	1072.5177
385.3777	1096.1246
385.6649	1129.5915
385.952	1153.3517
386.2392	1194.874
386.5264	1203.4553
386.8136	1235.1614
387.1008	1263.42
387.388	1291.6522
387.6752	1322.2379
387.9624	1354.4207
388.2496	1387.8009
388.5368	1407.3761
388.824	1434.0602
389.1111	1472.3651
389.3983	1508.0389
389.6855	1528.1277
389.9727	1565.9877
390.2599	1595.5694
390.5471	1620.9869
390.8343	1658.4732
391.1215	1687.4668
391.4087	1717.1058
391.6959	1747.4609
391.9831	1779.5408
392.2703	1822.5876
392.5574	1854.0871
392.8446	1872.6926
393.1318	1904.4677
393.419	1945.4807
393.7062	1982.7288
393.9934	2020.1308
394.2806	2055.2736
394.5678	2078.1323
394.855	2113.8875
395.1422	2151.8036
395.4294	2171.3464
395.7165	2200.9956
396.0037	2240.3633
396.2909	2298.1608
396.5781	2331.633
396.8653	2362.9023
397.1525	2393.4676
397.4397	2434.5212
397.7269	2464.8048
398.0141	2499.4298
398.3013	2533.603
398.5885	2574.3646
398.8757	2620.2115
399.1628	2641.5125
399.45	2703.7236
399.7372	2723.6527
400.0244	2763.9087
400.3116	2811.2189
400.5988	2850.6064
400.886	2895.6021
401.1732	2943.1362
401.4604	2988.6599
401.7476	3024.9254
402.0348	3059.1547
402.3219	3091.2258
402.6091	3144.9102
402.8963	3198.2175
403.1835	3241.3601
403.4707	3292.1241
403.7579	3331.9838
404.0451	3377.6161
404.3323	3432.0145
404.6195	3481.4948
404.9067	3536.4912
405.1939	3582.3393
405.4811	3641.4081
405.7682	3693.4199
406.0554	3745.472
406.3426	3808.063
406.6298	3847.7139
406.917	3916.0795
407.2042	3920.4255
407.4914	4019.5734
407.7786	4088.6081
408.0658	4132.9717
408.353	4174.8548
408.6402	4241.4876
408.9273	4274.6224
409.2145	4354.2191
409.5017	4423.1471
409.7889	4476.0631
410.0761	4547.3768
410.3633	4598.779
410.6505	4666.7794
410.9377	4729.0539
411.2249	4764.2321
411.5121	4817.1713
411.7993	4896.1938
412.0864	4965.394
412.3736	5012.5761
412.6608	5062.4867
412.948	5133.6142
413.2352	5207.5144
413.5224	5285.641
413.8096	5355.089
414.0968	5406.3271
414.384	5471.8167
414.6712	5534.2546
414.9584	5576.7071
415.2456	5624.6441
415.5327	5690.8991
415.8199	5758.1217
416.1071	5813.2072
416.3943	5889.2752
416.6815	5914.1358
416.9687	5996.3065
417.2559	6047.8763
417.5431	6092.1466
417.8303	6173.6902
418.1175	6189.3273
418.4047	6303.2575
418.6918	6318.1436
418.979	6328.4242
419.2662	6418.1986
419.5534	6456.9422
419.8406	6546.8717
420.1278	6588.4888
420.415	6621.0288
420.7022	6682.2768
420.9894	6732.3394
421.2766	6773.1965
421.5638	6834.048
421.851	6867.3285
422.1381	6931.502
422.4253	6974.3805
422.7125	7043.5137
422.9997	7095.4008
423.2869	7146.8782
423.5741	7195.1745
423.8613	7223.0834
424.1485	7252.313
424.4357	7299.4648
424.7229	7359.147
425.0101	7402.346
425.2972	7437.7048
425.5844	7488.2643
425.8716	7536.4578
426.1588	7594.6456
426.446	7642.1099
426.7332	7659.3515
427.0204	7720.3785
427.3076	7745.4702
427.5948	7803.527
427.882	7798.2683
428.1692	7876.412
428.4563	7929.2217
428.7435	7894.9708
429.0307	7939.3222
429.3179	7982.7995
429.6051	8029.5697
429.8923	8041.9469
430.1795	8095.2096
430.4667	8104.4467
430.7539	8124.4789
431.0411	8174.6185
431.3283	8175.9779
431.6155	8210.1666
431.9026	8227.9248
432.1898	8263.2002
432.477	8260.8958
